date;heure;NO2;O3
;;microg/m3;microg/m3
25/05/2008;13;n/d;n/d
25/05/2008;14;n/d;n/d
25/05/2008;15;n/d;n/d
25/05/2008;16;n/d;n/d
25/05/2008;17;n/d;n/d
25/05/2008;18;n/d;n/d
25/05/2008;19;n/d;n/d
25/05/2008;20;n/d;n/d
25/05/2008;21;n/d;n/d
25/05/2008;22;n/d;n/d
25/05/2008;23;n/d;n/d
25/05/2008;24;n/d;n/d
26/05/2008;1;n/d;n/d
26/05/2008;2;n/d;n/d
26/05/2008;3;n/d;n/d
26/05/2008;4;n/d;n/d
26/05/2008;5;n/d;n/d
26/05/2008;6;n/d;n/d
26/05/2008;7;n/d;n/d
26/05/2008;8;n/d;n/d
26/05/2008;9;n/d;n/d
26/05/2008;10;n/d;n/d
26/05/2008;11;22;63
26/05/2008;12;20;66
26/05/2008;13;34;50
26/05/2008;14;34;52
26/05/2008;15;32;51
26/05/2008;16;47;41
26/05/2008;17;57;36
26/05/2008;18;70;20
26/05/2008;19;70;26
26/05/2008;20;83;11
26/05/2008;21;77;4
26/05/2008;22;55;20
26/05/2008;23;50;22
26/05/2008;24;48;29
27/05/2008;1;42;27
27/05/2008;2;43;19
27/05/2008;3;31;29
27/05/2008;4;26;38
27/05/2008;5;47;23
27/05/2008;6;44;40
27/05/2008;7;54;30
27/05/2008;8;50;34
27/05/2008;9;57;23
27/05/2008;10;54;21
27/05/2008;11;46;23
27/05/2008;12;46;22
27/05/2008;13;46;24
27/05/2008;14;54;12
27/05/2008;15;60;6
27/05/2008;16;56;8
27/05/2008;17;63;7
27/05/2008;18;70;7
27/05/2008;19;74;4
27/05/2008;20;60;13
27/05/2008;21;34;23
27/05/2008;22;33;34
27/05/2008;23;19;58
27/05/2008;24;24;50
28/05/2008;1;34;39
28/05/2008;2;27;45
28/05/2008;3;15;58
28/05/2008;4;22;53
28/05/2008;5;28;41
28/05/2008;6;36;38
28/05/2008;7;34;54
28/05/2008;8;34;55
28/05/2008;9;26;66
28/05/2008;10;23;73
28/05/2008;11;21;74
28/05/2008;12;17;78
28/05/2008;13;21;79
28/05/2008;14;19;83
28/05/2008;15;23;82
28/05/2008;16;25;78
28/05/2008;17;33;71
28/05/2008;18;37;65
28/05/2008;19;45;57
28/05/2008;20;51;43
28/05/2008;21;58;31
28/05/2008;22;54;30
28/05/2008;23;71;11
28/05/2008;24;75;5
29/05/2008;1;71;7
29/05/2008;2;68;6
29/05/2008;3;59;14
29/05/2008;4;47;21
29/05/2008;5;68;1
29/05/2008;6;76;1
29/05/2008;7;93;2
29/05/2008;8;105;2
29/05/2008;9;99;6
29/05/2008;10;76;25
29/05/2008;11;49;52
29/05/2008;12;48;54
29/05/2008;13;43;58
29/05/2008;14;49;49
29/05/2008;15;41;56
29/05/2008;16;34;56
29/05/2008;17;35;53
29/05/2008;18;36;56
29/05/2008;19;40;58
29/05/2008;20;36;58
29/05/2008;21;50;43
29/05/2008;22;47;32
29/05/2008;23;61;15
29/05/2008;24;52;14
30/05/2008;1;57;5
30/05/2008;2;51;6
30/05/2008;3;41;12
30/05/2008;4;29;19
30/05/2008;5;33;16
30/05/2008;6;49;8
30/05/2008;7;59;6
30/05/2008;8;63;10
30/05/2008;9;71;18
30/05/2008;10;72;34
30/05/2008;11;55;60
30/05/2008;12;37;84
30/05/2008;13;30;98
30/05/2008;14;33;89
30/05/2008;15;29;91
30/05/2008;16;29;95
30/05/2008;17;28;89
30/05/2008;18;28;83
30/05/2008;19;30;77
30/05/2008;20;28;73
30/05/2008;21;39;60
30/05/2008;22;43;56
30/05/2008;23;45;50
30/05/2008;24;31;62
31/05/2008;1;29;64
31/05/2008;2;23;58
31/05/2008;3;23;57
31/05/2008;4;20;65
31/05/2008;5;30;54
31/05/2008;6;43;48
31/05/2008;7;47;55
31/05/2008;8;43;67
31/05/2008;9;35;74
31/05/2008;10;36;74
31/05/2008;11;26;93
31/05/2008;12;27;92
31/05/2008;13;25;97
31/05/2008;14;27;89
31/05/2008;15;22;92
31/05/2008;16;22;88
31/05/2008;17;23;89
31/05/2008;18;32;72
31/05/2008;19;35;70
31/05/2008;20;47;62
31/05/2008;21;53;58
31/05/2008;22;39;72
31/05/2008;23;37;68
31/05/2008;24;37;57
01/06/2008;1;32;55
01/06/2008;2;29;50
01/06/2008;3;22;57
01/06/2008;4;19;54
01/06/2008;5;24;45
01/06/2008;6;18;50
01/06/2008;7;16;58
01/06/2008;8;16;73
01/06/2008;9;14;93
01/06/2008;10;15;102
01/06/2008;11;12;112
01/06/2008;12;14;117
01/06/2008;13;14;115
01/06/2008;14;18;94
01/06/2008;15;14;90
01/06/2008;16;14;83
01/06/2008;17;15;68
01/06/2008;18;19;57
01/06/2008;19;23;54
01/06/2008;20;29;48
01/06/2008;21;28;51
01/06/2008;22;30;47
01/06/2008;23;31;49
01/06/2008;24;23;52
02/06/2008;1;18;50
02/06/2008;2;19;38
02/06/2008;3;15;41
02/06/2008;4;18;36
02/06/2008;5;25;34
02/06/2008;6;67;7
02/06/2008;7;90;5
02/06/2008;8;95;7
02/06/2008;9;87;16
02/06/2008;10;n/d;n/d
02/06/2008;11;54;n/d
02/06/2008;12;52;25
02/06/2008;13;40;32
02/06/2008;14;31;48
02/06/2008;15;25;55
02/06/2008;16;21;61
02/06/2008;17;26;56
02/06/2008;18;28;53
02/06/2008;19;32;51
02/06/2008;20;39;46
02/06/2008;21;34;39
02/06/2008;22;37;31
02/06/2008;23;28;36
02/06/2008;24;18;48
03/06/2008;1;11;54
03/06/2008;2;10;57
03/06/2008;3;13;51
03/06/2008;4;20;44
03/06/2008;5;41;24
03/06/2008;6;45;21
03/06/2008;7;47;15
03/06/2008;8;39;19
03/06/2008;9;33;32
